PC_name, OS, OS_version
"DAVIDECASTELLAN","Microsoft Windows 10 Home","10.0.19041"
"DAVIDECASTELLAN","Microsoft Windows 10 Home","10.0.19041"
"DAVIDECASTELLAN","Microsoft Windows 10 Home","10.0.19041"
